[2025-10-15 19:15:25] ✅ Railway доступен, синхронизация не требуется.
[2025-10-15 19:20:25] ✅ Railway доступен, синхронизация не требуется.
[2025-10-15 19:25:25] ✅ Railway доступен, синхронизация не требуется.
[2025-10-15 19:30:17] ✅ Railway доступен, синхронизация не требуется.
[2025-10-15 19:30:25] ✅ Railway доступен, синхронизация не требуется.
[2025-10-15 19:32:45] ✅ Railway доступен, синхронизация не требуется.
[2025-10-15 23:35:25] ✅ ✅ Railway доступен, синхронизация выполнена
[2025-10-15 23:40:25] ✅ ✅ Railway доступен, синхронизация выполнена
[2025-10-15 23:45:25] ✅ ✅ Railway доступен, синхронизация выполнена
[2025-10-15 23:49:32] ❌ Ошибка при синхронизации: pg_connection_status(): Argument #1 ($connection) must be of type PgSql\Connection, bool given
[2025-10-15 23:50:25] ✅ ✅ Railway доступен, синхронизация выполнена
